Work ID,Work ISWC,Party ID,Party IPI Name,Party Full Name,Party Role
B51482,,2247681,61661293,STEVE GREENBERG,Composer
LA4SDB,T3073743183,2740629,723950539,COLORS PUBLISHING PROPRIETE DE LACROIX & EIGENMANN,OriginalPublisher
IC783E,,3151221,,PINK SHARK MUSIC LLC,OriginalPublisher
MV9ZVV,T3059217077,380314,448886987,ILYASIN ZARIFA MUHAMMAD,ComposerLyricist
S6308C,T8026888201,3953366,59213384,VACEK KISIELEWSKI,ComposerLyricist
JV9X3H,,464217,36700796,HIROKO KIMURA,Lyricist
RA8A1E,,4696044,377223550,MAHOGANY RED MUSIC,OriginalPublisher
SB1BQ1,,4062161,,YURI SEMENYAGA,ComposerLyricist
I13302,,4078482,29448858,PAUL STANLEY,Composer
BVCAGY,,4196313,581171456,PAUL BRADY,ComposerLyricist
HA20TA,,422973,660554251,PITCH MUSIC,OriginalPublisher
P44078,,433234,406313792,JULIUS LARS BENGTSSON,Composer
IVDMC1,,440633,,ANFINN SKULEVOLD,Composer
KA0I5Q,,433068,581490534,UNIVERSAL MUZIK TAKSIM EDISYON A S,OriginalPublisher
DV8D87,T9176615773,4439522,13671113,BOBBY HEBB,ComposerLyricist
AB1OHS,,4607209,669363500,ALIBI GENERATOR,OriginalPublisher
MB1AB0,,4646797,391047072,CTSO MUSIC ASCAP,RightsAdministrator
MVCRS5,T8014918232,3931784,225719958,MILOS KRKOSKA,Composer
HV8RIZ,,4293738,,SAMUEL ATWELL,Composer
AB0JSS,,4607220,668859274,ALIBOTS,OriginalPublisher
AVAWWN,T9104812206,411691,199895675,JOHN FRANCIS MC DERMOTT,ComposerLyricist
AVDUR1,T9204896004,419142,589179877,MICHAEL PETER DOHERTY,Composer
FE5X5Y,,423033,22042935,GERHARD NARHOLZ,Composer
W5980X,,4514435,1087684217,HYBE CO. LTD.,OriginalPublisher
AD3SV7,,426856,582135944,ROTEM HECHT,Arranger
TA377R,,4580699,825580429,HBTL PUBLISHING,OriginalPublisher
N65006,T9154006572,4601579,853222845,TWELVE AM MUSIC PUBLISHING,OriginalPublisher
DVA73S,,397085,264043977,STUART DAVID GARRARD,ComposerLyricist
D5084G,T0022054541,4231530,,LIN KE BANG,Composer
G6510H,,428613,561803555,NATALIA HAJJARA,Composer
