Work ID,Work ISWC,Party ID,Party IPI Name,Party Full Name,Party Role
RB1IQD,,927121,509030978,SENTRIC MUSIC LIMITED,SubPublisher
WV7RTN,,955269,594201552,DANIEL LUND JOERGENSEN,Composer
DB19DT,,880059,185314175,WARNER-TAMERLANE PUB CORP.,OriginalPublisher
IV7NQB,,1173266,143539378,EMILE BERNARD E HARTKAMP,ComposerLyricist
N29864,,1231777,,VIJAY BHARDWAJ,Composer
H2413E,T0006146662,1174584,294449820,MAGNUS SVANTE WALLBERT,ComposerLyricist
CV9P54,T3057925512,105244,276843232,TRACI COLLEEN HALE,ComposerLyricist
I19488,T0714971615,861339,338164558,SONY/ATV TUNES LLC,OriginalPublisher
D4191E,T0117036971,1434535,178228839,NICHOLAS JAMES THORNILEY GREEN,Composer
JV7AQI,,1353061,500822696,AEION EDSON HOILETT,Composer
AA0JMD,T9134551307,1360729,51843978,STEPHEN L MELILLO,Composer
L3240P,,1429042,264443467,PIERS MARSH,Composer
GE24UF,T3015353427,1936312,404981752,VEFIK TARIK AGANSOY,Arranger
VB0K5R,T0399417389,1979499,673820137,ELAN RUBIO BORGES,ComposerLyricist
EA82AZ,T9287095038,4857406,370623474,MITCHELL TALENT GROUP INC.,OriginalPublisher
DA115U,,481881,569197004,EMI PRODUCTION MUSIC GMBH,OriginalPublisher
GE24UF,T3015353427,5352202,,MUSIKI ESERI SAHIPLERI GRUBU MESLEK BIRLIGI,OriginalPublisher
K1740Q,,484575,448562431,TRADITIONAL,Composer
SV99NS,,4865672,1026501899,FOUNDRY MUSIC PUBLISHING WORLDWIDE,OriginalPublisher
W7583A,,622721,66434080,BLACK BULL MUSIC INC,OriginalPublisher
I19488,T0714971615,610959,128633767,EMI APRIL MUSIC INC,RightsAdministrator
PVBJ47,,598710,282802660,UNIVERSAL-POLYGRAM INTL TUNES INC.,RightsAdministrator
BVATVS,,607920,395302652,PLASMAPOOL MEDIA ENTERTAINMENT,OriginalPublisher
MVCA18,T0724179503,655176,,ROCKIN' LEPRECHAUN MUSIC,OriginalPublisher
RB1IQD,,5731187,,ADITYA JAIN,Composer
SV99NS,,2018401,,DAVID E COOKE,Composer
N7073M,T9109442413,2005330,610189475,STEFAN SPRIANU,ComposerLyricist
Z1547O,,718439,33189981,WONDERLAND MUSIC COMPANY INC,OriginalPublisher
H2044Q,T7000230786,725812,23276307,PAINTED DESERT MUSIC CORP,SubPublisher
M5890I,,727264,,SUPER CASSETTES,OriginalPublisher
PA3PSJ,,854109,37280097,COMETA ED. MUSIC,OriginalPublisher
JV7AQI,,878507,340328985,GREENSLEEVES PUBLISHING LTD.,RightsAdministrator
L5136S,T0114186876,752653,601191692,BMG GOLD SONGS,RightsAdministrator
C01794,,752642,595808890,BMG PLATINUM SONGS,OriginalPublisher
H2413E,T0006146662,825301,461218182,BOOTLEGGERS STOP,OriginalPublisher
